

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines
022.864  000.128  000.128: require('telescope.mappings')
022.927  000.061  000.061: require('telescope.pickers.highlights')
022.982  000.054  000.054: require('telescope.pickers.window')
023.101  000.058  000.058: require('telescope.algos.linked_list')
023.103  000.121  000.062: require('telescope.entry_manager')
023.157  000.053  000.053: require('telescope.pickers.multi')
023.166  003.639  000.155: require('telescope.pickers')
023.308  000.142  000.142: require('telescope.builtin')
023.311  005.977  000.189: require('telescope._extensions.projects')
023.578  000.022  000.022: sourcing /Users/amer3107/.local/share/nvim/lazy/nvim-web-devicons/plugin/nvim-web-devicons.vim
023.984  000.352  000.352: require('oil')
024.031  000.046  000.046: require('oil.ringbuf')
024.111  000.066  000.066: require('oil.config')
024.856  000.594  000.594: require('vim.filetype')
025.213  000.044  000.044: require('oil.constants')
025.217  000.126  000.082: require('oil.util')
025.485  000.238  000.238: require('modicator')
025.966  000.051  000.051: require('lualine_require')
026.181  000.503  000.452: require('lualine')
027.325  000.059  000.059: require('lualine.utils.mode')
029.048  003.541  002.979: require('lualine')
029.116  000.066  000.066: require('modicator.integration.lualine')
029.405  000.100  000.100: require('modicator.utils')
030.652  000.066  000.066: sourcing /Users/amer3107/.local/share/nvim/lazy/nvim-lspconfig/plugin/lspconfig.lua
031.494  000.347  000.347: require('cmp.utils.api')
031.655  000.078  000.078: require('cmp.types.cmp')
031.782  000.063  000.063: require('cmp.utils.misc')
031.811  000.155  000.092: require('cmp.types.lsp')
031.860  000.048  000.048: require('cmp.types.vim')
031.861  000.366  000.084: require('cmp.types')
031.910  000.047  000.047: require('cmp.utils.highlight')
032.004  000.048  000.048: require('cmp.utils.debug')
032.007  000.097  000.048: require('cmp.utils.autocmd')
032.154  001.047  000.189: sourcing /Users/amer3107/.local/share/nvim/lazy/nvim-cmp/plugin/cmp.lua
033.519  000.082  000.082: require('luasnip.util.types')
033.523  000.184  000.103: require('luasnip.util.ext_opts')
033.896  000.130  000.130: require('luasnip.util.lazy_table')
033.973  000.076  000.076: require('luasnip.extras.filetype_functions')
033.993  000.347  000.141: require('luasnip.default_config')
033.995  000.472  000.124: require('luasnip.session')
033.998  001.237  000.581: require('luasnip.config')
034.154  000.057  000.057: require('luasnip.util.util')
034.277  000.053  000.053: require('luasnip.nodes.key_indexer')
034.281  000.125  000.071: require('luasnip.nodes.util')
034.380  000.045  000.045: require('luasnip.session.snippet_collection.source')
034.422  000.041  000.041: require('luasnip.util.table')
034.464  000.042  000.042: require('luasnip.util.auto_table')
034.469  000.187  000.059: require('luasnip.session.snippet_collection')
034.605  000.044  000.044: require('luasnip.util.select')
034.645  000.039  000.039: require('luasnip.util.time')
034.861  000.348  000.265: require('luasnip.util._builtin_vars')
034.931  000.461  000.113: require('luasnip.util.environ')
034.984  000.052  000.052: require('luasnip.util.extend_decorator')
035.093  000.060  000.060: require('luasnip.util.path')
035.206  000.064  000.064: require('luasnip.util.log')
